Index,Factor,Shape Factor,nInfluencePoints
705,7.2,0.0509117,29
706,7.2,0.0509117,29
707,7.2,0.0509117,29
708,7.2,0.0509117,29
709,7.2,0.0509117,29
710,7.2,0.0509117,29
711,7.2,0.0509117,29
712,7.2,0.0509117,29
713,7.2,0.0509117,29
714,7.2,0.0509117,29
715,7.2,0.0509117,29
716,7.2,0.0509117,29
717,7.2,0.0509117,30
718,8,0.0565685,29
719,9.6,0.0678823,24
720,9.9,0.0700036,24
721,8.3,0.0586899,27
722,7.2,0.0509117,30
723,7.2,0.0509117,29
724,7.2,0.0509117,29
725,7.2,0.0509117,29
726,7.2,0.0509117,29
727,7.2,0.0509117,29
728,7.2,0.0509117,29
729,7.2,0.0509117,29
730,7.2,0.0509117,29
731,7.2,0.0509117,29
732,7.2,0.0509117,29
733,7.2,0.0509117,29
734,7.2,0.0509117,29
735,7.2,0.0509117,29
736,7.2,0.0509117,29
737,7.2,0.0509117,29
738,7.2,0.0509117,29
739,7.2,0.0509117,29
740,7.2,0.0509117,29
741,7.2,0.0509117,29
742,7.2,0.0509117,29
743,7.2,0.0509117,29
744,7.2,0.0509117,29
745,7.2,0.0509117,29
746,7.2,0.0509117,29
747,7.2,0.0509117,29
748,7.2,0.0509117,29
749,7.2,0.0509117,29
750,7.2,0.0509117,29
751,7.2,0.0509117,29
752,7.2,0.0509117,29
753,7.2,0.0509117,29
754,7.2,0.0509117,29
755,7.2,0.0509117,29
756,7.2,0.0509117,29
757,7.2,0.0509117,29
758,7.2,0.0509117,29
759,7.2,0.0509117,29
760,7.2,0.0509117,29
761,7.2,0.0509117,29
762,7.2,0.0509117,29
763,7.2,0.0509117,29
764,7.2,0.0509117,29
765,7.2,0.0509117,29
766,7.2,0.0509117,30
767,8.3,0.0586899,27
768,9.9,0.0700036,24
769,9.6,0.0678823,24
770,8,0.0565685,29
771,7.2,0.0509117,30
772,7.2,0.0509117,29
773,7.2,0.0509117,29
774,7.2,0.0509117,29
775,7.2,0.0509117,29
776,7.2,0.0509117,29
777,7.2,0.0509117,29
778,7.2,0.0509117,29
779,7.2,0.0509117,29
780,7.2,0.0509117,29
781,7.2,0.0509117,29
782,7.2,0.0509117,29
783,7.2,0.0509117,29
784,7.2,0.0509117,29
785,7.2,0.0509117,29
786,7.2,0.0509117,29
787,7.2,0.0509117,29
788,7.2,0.0509117,29
789,7.2,0.0509117,29
790,7.2,0.0509117,29
791,7.2,0.0509117,29
792,7.2,0.0509117,29
793,7.2,0.0509117,29
794,7.2,0.0509117,29
795,7.2,0.0509117,29
796,7.2,0.0509117,29
797,7.2,0.0509117,29
798,7.2,0.0509117,29
799,7.2,0.0509117,29
800,7.2,0.0509117,29
801,7.2,0.0509117,29
802,7.2,0.0509117,29
803,7.2,0.0509117,29
804,7.2,0.0509117,29
805,7.2,0.0509117,29
806,7.2,0.0509117,29
807,7.2,0.0509117,29
808,7.2,0.0509117,29
809,7.2,0.0509117,29
810,7.2,0.0509117,29
811,7.2,0.0509117,29
812,7.2,0.0509117,29
813,7.2,0.0509117,29
814,7.2,0.0509117,29
815,7.2,0.0509117,30
816,8,0.0565685,29
817,9.6,0.0678823,24
818,9.9,0.0700036,24
819,8.3,0.0586899,27
820,7.2,0.0509117,30
821,7.2,0.0509117,29
822,7.2,0.0509117,29
823,7.2,0.0509117,29
824,7.2,0.0509117,29
825,7.2,0.0509117,29
826,7.2,0.0509117,29
827,7.2,0.0509117,29
828,7.2,0.0509117,29
829,7.2,0.0509117,29
830,7.2,0.0509117,29
831,7.2,0.0509117,29
832,7.2,0.0509117,29
833,7.2,0.0509117,29
834,7.2,0.0509117,29
835,7.2,0.0509117,29
836,7.2,0.0509117,29
837,7.2,0.0509117,29
838,7.2,0.0509117,29
839,7.2,0.0509117,29
840,7.2,0.0509117,29
841,7.2,0.0509117,29
842,7.2,0.0509117,29
843,7.2,0.0509117,29
844,7.2,0.0509117,29
845,7.2,0.0509117,29
846,7.2,0.0509117,29
847,7.2,0.0509117,29
848,7.2,0.0509117,29
849,7.2,0.0509117,29
850,7.2,0.0509117,29
851,7.2,0.0509117,29
852,7.2,0.0509117,29
853,7.2,0.0509117,29
854,7.2,0.0509117,29
855,7.2,0.0509117,29
856,7.2,0.0509117,29
857,7.2,0.0509117,29
858,7.2,0.0509117,29
859,7.2,0.0509117,29
860,7.2,0.0509117,29
861,7.2,0.0509117,29
862,7.2,0.0509117,29
863,7.2,0.0509117,29
864,7.2,0.0509117,30
865,8.3,0.0586899,27
866,9.9,0.0700036,24
867,9.6,0.0678823,24
868,8,0.0565685,29
869,7.2,0.0509117,30
870,7.2,0.0509117,29
871,7.2,0.0509117,29
872,7.2,0.0509117,29
873,7.2,0.0509117,29
874,7.2,0.0509117,29
875,7.2,0.0509117,29
876,7.2,0.0509117,29
877,7.2,0.0509117,29
878,7.2,0.0509117,29
879,7.2,0.0509117,29
880,7.2,0.0509117,29
881,7.2,0.0509117,29
882,7.2,0.0509117,29
883,7.2,0.0509117,29
884,7.2,0.0509117,29
885,7.2,0.0509117,29
886,7.2,0.0509117,29
887,7.2,0.0509117,29
888,7.2,0.0509117,29
889,7.2,0.0509117,29
890,7.2,0.0509117,29
891,7.2,0.0509117,29
892,7.2,0.0509117,29
893,7.2,0.0509117,29
894,7.2,0.0509117,29
895,7.2,0.0509117,29
896,7.2,0.0509117,29
897,7.2,0.0509117,29
